Month,PM2.5 Particulate (ug/m3)
Jan-2008,14.6787634408602
Feb-2008,28.7729885057471
Mar-2008,12.300134589502
Apr-2008,20.4611111111111
May-2008,27.508064516129
Jun-2008,16.0100574712644
Jul-2008,14.2405913978495
Aug-2008,11.4529569892473
Sep-2008,17.9791666666667
Oct-2008,12.9180107526882
Nov-2008,14.7138888888889
Dec-2008,20.5161290322581
Jan-2009,23.1774193548387
Feb-2009,19.0758928571429
Mar-2009,19.7069892473118
Apr-2009,26.0847222222222
May-2009,14.3051075268817
Jun-2009,15.9375
Jul-2009,11.2311827956989
Aug-2009,13.2567204301075
Sep-2009,14.4430555555556
Oct-2009,18.0188172043011
Nov-2009,12.8958333333333
Dec-2009,16.2795698924731
Jan-2010,24.3427419354839
Feb-2010,18.335119047619
Mar-2010,15.8603494623656
Apr-2010,18.8165277777778
May-2010,16.1911290322581
Jun-2010,17.4419444444444
Jul-2010,12.4533602150538
Aug-2010,10.9744623655914
Sep-2010,14.4595833333334
Oct-2010,15.906182795699
Nov-2010,21.8929166666667
Dec-2010,22.6137096774194
Jan-2011,16.9815860215054
Feb-2011,24.3370535714286
Mar-2011,32.5807795698925
Apr-2011,28.2273611111111
May-2011,13.0358870967742
Jun-2011,12.0255555555556
Jul-2011,12.7826612903226
Aug-2011,11.8645161290323
Sep-2011,14.8769444444444
Oct-2011,14.7168010752688
Nov-2011,25.1619444444444
Dec-2011,9.19059139784947
Jan-2012,15.8014784946237
Feb-2012,21.4724137931035
Mar-2012,30.325
Apr-2012,13.3325
May-2012,18.6248655913979
Jun-2012,11.9131944444444
Jul-2012,12.819623655914
Aug-2012,13.7073924731183
Sep-2012,12.38
Oct-2012,15.7809139784946
Nov-2012,17.3648611111111
Dec-2012,13.9091397849463
Jan-2013,20.4545698924731
Feb-2013,21.2983630952381
Mar-2013,24.9752688172043
Apr-2013,17.2431944444444
May-2013,14.3618279569892
Jun-2013,13.3816666666667
Jul-2013,15.8266129032258
Aug-2013,13.4383064516129
Sep-2013,17.1544444444444
Oct-2013,12.6225806451613
Nov-2013,14.7194444444444
12/01/2013,14.517876344086
01/01/2014,11.6014784946237
02/01/2014,8.47901785714287
03/01/2014,23.8200268817204
04/01/2014,20.0495833333333
05/01/2014,13.617876344086
06/01/2014,11.5768055555556
07/01/2014,12.9755376344086
08/01/2014,9.69919354838711
Sep-2014,25.2498611111111
Oct-2014,12.794623655914
Nov-2014,20.333908045977
Dec-2014,13.2270161290323
Jan-2015,13.5327956989247
Feb-2015,15.789880952381
03/01/2015,19.5400537634409
04/01/2015,16.1293055555556
05/01/2015,10.4560483870968
06/01/2015,12.7525
07/01/2015,11.1475806451613
08/01/2015,12.2016129032258
09/01/2015,12.5688888888889
10/01/2015,18.5744623655914
11/01/2015,12.7326388888889
12/01/2015,11.8638440860215
01/01/2016,13.5978494623656
02/01/2016,13.0479885057471
03/01/2016,18.0366935483871
04/01/2016,12.5430555555556
05/01/2016,13.8305107526882
06/01/2016,12.6065972222222
07/01/2016,10.9309139784946
08/01/2016,12.7104838709677
09/01/2016,12.8995833333333
10/01/2016,16.7423387096774
11/01/2016,14.5186111111111
12/01/2016,23.883064516129
01/01/2017,23.8403225806452
02/01/2017,18.4395833333334
03/01/2017,13.5346774193548
04/01/2017,12.7963888888889
05/01/2017,12.836559139785
06/01/2017,11.4055555555556
07/01/2017,9.40846774193548
08/01/2017,10.236559139785
09/01/2017,12.0875
10/01/2017,10.863440860215
11/01/2017,13.3830555555556
12/01/2017,9.88440860215052
01/01/2018,10.2819892473118
02/01/2018,11.9183035714286
03/01/2018,14.9899193548387
04/01/2018,16.8448611111111
05/01/2018,18.9
06/01/2018,10.44125
07/01/2018,11.8088709677419
08/01/2018,7.89784946236559
09/01/2018,9.62583333333334
10/01/2018,11.4228494623656
11/01/2018,15.1725
12/01/2018,11.3931451612903
01/01/2019,13.9056944444444
02/01/2019,18.509375
03/01/2019,11.2970430107527
04/01/2019,22.8044444444445
05/01/2019,10.6559139784946
06/01/2019,9.20222222222223
07/01/2019,9.0861559139785
